game_id,move_index,player,source,move,winner,board_before
1779267992,10,X,human,65,X,.......O..O.........................................O................O...........XX..............X..............XX.............O.................................................................................................
1779267992,11,O,computer,37,X,.......O..O.........................................O............X...O...........XX..............X..............XX.............O.................................................................................................
1779267992,12,X,human,49,X,.......O..O..........................O..............O............X...O...........XX..............X..............XX.............O.................................................................................................
1779268236,0,X,human,112,X,.................................................................................................................................................................................................................................
1779268236,1,O,computer,10,X,................................................................................................................X................................................................................................................
1779268236,2,X,human,113,X,..........O.....................................................................................................X................................................................................................................
1779268236,3,O,computer,128,X,..........O.....................................................................................................XX...............................................................................................................
1779268236,4,X,human,114,X,..........O.....................................................................................................XX..............O................................................................................................
1779268236,5,O,computer,115,X,..........O.....................................................................................................XXX.............O................................................................................................
1779268236,6,X,human,129,X,..........O.....................................................................................................XXXO............O................................................................................................
1779268236,7,O,computer,105,X,..........O.....................................................................................................XXXO............OX...............................................................................................
1779268236,8,X,human,97,X,..........O..............................................................................................O......XXXO............OX...............................................................................................
1779268236,9,O,computer,116,X,..........O......................................................................................X.......O......XXXO............OX...............................................................................................
1779268236,10,X,human,145,X,..........O......................................................................................X.......O......XXXOO...........OX...............................................................................................
1779268236,11,O,computer,108,X,..........O......................................................................................X.......O......XXXOO...........OX...............X...............................................................................
1779268236,12,X,human,161,X,..........O......................................................................................X.......O..O...XXXOO...........OX...............X...............................................................................
1779268301,0,X,human,112,X,.................................................................................................................................................................................................................................
1779268301,1,O,computer,10,X,................................................................................................................X................................................................................................................
1779268301,2,X,human,111,X,..........O.....................................................................................................X................................................................................................................
1779268301,3,O,computer,97,X,..........O....................................................................................................XX................................................................................................................
1779268301,4,X,human,110,X,..........O......................................................................................O.............XX................................................................................................................
1779268301,5,O,computer,96,X,..........O......................................................................................O............XXX................................................................................................................
1779268301,6,X,human,95,X,..........O.....................................................................................OO............XXX................................................................................................................
1779268301,7,O,computer,84,X,..........O....................................................................................XOO............XXX................................................................................................................
1779268301,8,X,human,80,X,..........O.........................................................................O..........XOO............XXX................................................................................................................
1779268301,9,O,computer,65,X,..........O.....................................................................X...O..........XOO............XXX................................................................................................................
1779268301,10,X,human,79,X,..........O......................................................O..............X...O..........XOO............XXX................................................................................................................
1779268301,11,O,computer,81,X,..........O......................................................O.............XX...O..........XOO............XXX................................................................................................................
1779268301,12,X,human,127,X,..........O......................................................O.............XXO..O..........XOO............XXX................................................................................................................
1779268301,13,O,computer,175,X,..........O......................................................O.............XXO..O..........XOO............XXX..............X.................................................................................................
1779268301,14,X,human,143,X,..........O......................................................O.............XXO..O..........XOO............XXX..............X...............................................O.................................................
1779268801,0,X,human,112,X,.................................................................................................................................................................................................................................
1779268801,1,O,computer,114,X,................................................................................................................X................................................................................................................
1779268801,2,X,human,127,X,................................................................................................................X.O..............................................................................................................
1779268801,3,O,computer,128,X,................................................................................................................X.O............X.................................................................................................
1779268801,4,X,human,97,X,................................................................................................................X.O............XO................................................................................................
1779268801,5,O,computer,67,X,.................................................................................................X..............X.O............XO................................................................................................
1779268801,6,X,human,98,X,...................................................................O.............................X..............X.O............XO................................................................................................
1779268801,7,O,computer,113,X,...................................................................O.............................XX.............X.O............XO................................................................................................
1779268801,8,X,human,84,X,...................................................................O.............................XX.............XOO............XO................................................................................................
1779268801,9,O,computer,82,X,...................................................................O................X............XX.............XOO............XO................................................................................................
1779268801,10,X,human,126,X,...................................................................O..............O.X............XX.............XOO............XO................................................................................................
1779268801,11,O,computer,140,X,...................................................................O..............O.X............XX.............XOO...........XXO................................................................................................
1779268801,12,X,human,70,X,...................................................................O..............O.X............XX.............XOO...........XXO...........O....................................................................................
1779269027,0,X,human,112,X,.................................................................................................................................................................................................................................
1779269027,1,O,computer,10,X,................................................................................................................X................................................................................................................
1779269027,2,X,human,113,X,..........O.....................................................................................................X................................................................................................................
1779269027,3,O,computer,128,X,..........O.....................................................................................................XX...............................................................................................................
1779269027,4,X,human,114,X,..........O.....................................................................................................XX..............O................................................................................................
1779269027,5,O,computer,115,X,..........O.....................................................................................................XXX.............O................................................................................................
1779269027,6,X,human,111,X,..........O.....................................................................................................XXXO............O................................................................................................
1779269027,7,O,computer,105,X,..........O....................................................................................................XXXXO............O................................................................................................
1779269027,8,X,human,110,X,..........O..............................................................................................O.....XXXXO............O................................................................................................
1779269058,0,X,human,111,X,.................................................................................................................................................................................................................................
1779269058,1,O,computer,55,X,...............................................................................................................X.................................................................................................................
1779269058,2,X,human,112,X,.......................................................O.......................................................X.................................................................................................................
1779269058,3,O,computer,96,X,.......................................................O.......................................................XX................................................................................................................
1779269058,4,X,human,113,X,.......................................................O........................................O..............XX................................................................................................................
1779269058,5,O,computer,110,X,.......................................................O........................................O..............XXX...............................................................................................................
1779269058,6,X,human,128,X,.......................................................O........................................O.............OXXX...............................................................................................................
1779269058,7,O,computer,114,X,.......................................................O........................................O.............OXXX..............X................................................................................................
1779269058,8,X,human,98,X,.......................................................O........................................O.............OXXXO.............X................................................................................................
1779269058,9,O,computer,109,X,.......................................................O........................................O.X...........OXXXO.............X................................................................................................
1779269058,10,X,human,143,X,.......................................................O........................................O.X..........OOXXXO.............X................................................................................................
1779269058,11,O,computer,107,X,.......................................................O........................................O.X..........OOXXXO.............X..............X.................................................................................
1779269058,12,X,human,158,X,.......................................................O........................................O.X........O.OOXXXO.............X..............X.................................................................................
1779269083,0,X,human,112,X,.................................................................................................................................................................................................................................
1779269083,1,O,computer,10,X,................................................................................................................X................................................................................................................
1779269083,2,X,human,96,X,..........O.....................................................................................................X................................................................................................................
1779269083,3,O,computer,128,X,..........O.....................................................................................X...............X................................................................................................................
1779269083,4,X,human,98,X,..........O.....................................................................................X...............X...............O................................................................................................
1779269083,5,O,computer,144,X,..........O.....................................................................................X.X.............X...............O................................................................................................
1779269083,6,X,human,84,X,..........O.....................................................................................X.X.............X...............O...............O................................................................................
1779269083,7,O,computer,160,X,..........O.........................................................................X...........X.X.............X...............O...............O................................................................................
1779269083,8,X,human,70,X,..........O.........................................................................X...........X.X.............X...............O...............O...............O................................................................
1779269083,9,O,computer,56,X,..........O...........................................................X.............X...........X.X.............X...............O...............O...............O................................................................
1779269083,10,X,human,126,X,..........O.............................................O.............X.............X...........X.X.............X...............O...............O...............O................................................................
1779269115,0,X,human,112,X,.................................................................................................................................................................................................................................
1779269115,1,O,computer,10,X,................................................................................................................X................................................................................................................
1779269115,2,X,human,96,X,..........O.....................................................................................................X................................................................................................................
1779269115,3,O,computer,128,X,..........O.....................................................................................X...............X................................................................................................................
1779269115,4,X,human,127,X,..........O.....................................................................................X...............X...............O................................................................................................
1779269115,5,O,computer,48,X,..........O.....................................................................................X...............X..............XO................................................................................................
1779269115,6,X,human,111,X,..........O.....................................O...............................................X...............X..............XO................................................................................................
1779269115,7,O,computer,64,X,..........O.....................................O...............................................X..............XX..............XO................................................................................................
1779269115,8,X,human,143,X,..........O.....................................O...............O...............................X..............XX..............XO................................................................................................
1779269115,9,O,computer,80,X,..........O.....................................O...............O...............................X..............XX..............XO..............X.................................................................................
1779269115,10,X,human,95,X,..........O.....................................O...............O...............O...............X..............XX..............XO..............X.................................................................................
1779269115,11,O,computer,32,X,..........O.....................................O...............O...............O..............XX..............XX..............XO..............X.................................................................................
1779269115,12,X,human,79,X,..........O.....................O...............O...............O...............O..............XX..............XX..............XO..............X.................................................................................
1779269142,0,X,human,112,X,.................................................................................................................................................................................................................................
1779269142,1,O,computer,10,X,................................................................................................................X................................................................................................................
1779269142,2,X,human,96,X,..........O.....................................................................................................X................................................................................................................
1779269142,3,O,computer,128,X,..........O.....................................................................................X...............X................................................................................................................
1779269142,4,X,human,98,X,..........O.....................................................................................X...............X...............O................................................................................................
1779269142,5,O,computer,144,X,..........O.....................................................................................X.X.............X...............O................................................................................................
1779269142,6,X,human,126,X,..........O.....................................................................................X.X.............X...............O...............O................................................................................
1779269142,7,O,computer,48,X,..........O.....................................................................................X.X.............X.............X.O...............O................................................................................
1779269142,8,X,human,140,X,..........O.....................................O...............................................X.X.............X.............X.O...............O................................................................................
1779269142,9,O,computer,84,X,..........O.....................................O...............................................X.X.............X.............X.O...........X...O................................................................................
1779269142,10,X,human,154,X,..........O.....................................O...................................O...........X.X.............X.............X.O...........X...O................................................................................
1779269173,0,X,human,111,X,.................................................................................................................................................................................................................................
1779269173,1,O,computer,55,X,...............................................................................................................X.................................................................................................................
1779269173,2,X,human,97,X,.......................................................O.......................................................X.................................................................................................................
1779269173,3,O,computer,83,X,.......................................................O.........................................X.............X.................................................................................................................
1779269173,4,X,human,95,X,.......................................................O...........................O.............X.............X.................................................................................................................
1779269173,5,O,computer,69,X,.......................................................O...........................O...........X.X.............X.................................................................................................................
1779269173,6,X,human,127,X,.......................................................O.............O.............O...........X.X.............X.................................................................................................................
1779269173,7,O,computer,125,X,.......................................................O.............O.............O...........X.X.............X...............X.................................................................................................
